source_id,source_title,source_url,publisher,access_date,source_type,reliability_level,raw_file_path,notes,_agent_dir
SRC_MOE_MAJOR_2023_PAGE,2023年度普通高等学校本科专业备案和审批结果页面,https://www.moe.gov.cn/srcsite/A08/moe_1034/s4930/202403/t20240319_1121111.html,教育部,2026-05-17,教育部通知页面,A,,已定位附件链接但按用户要求停止继续下载和抽取,E2_base
SRC_MOE_MAJOR_2022_PAGE,2022年度普通高等学校本科专业备案和审批结果页面,https://www.moe.gov.cn/srcsite/A08/moe_1034/s4930/202304/t20230419_1056224.html,教育部,2026-05-17,教育部通知页面,A,,已定位附件链接但按用户要求停止继续下载和抽取,E2_base
SRC_MOE_MAJOR_2021_PAGE,2021年度普通高等学校本科专业备案和审批结果页面,https://www.moe.gov.cn/srcsite/A08/moe_1034/s4930/202202/t20220224_602135.html,教育部,2026-05-17,教育部通知页面,A,,已定位附件链接但按用户要求停止继续下载和抽取,E2_base
SRC_MOE_MAJOR_2020_PAGE,2020年度普通高等学校本科专业备案和审批结果页面,https://www.moe.gov.cn/srcsite/A08/moe_1034/s4930/202103/t20210301_516076.html,教育部,2026-05-17,教育部通知页面,A,,已定位xls附件链接但按用户要求停止继续下载和抽取,E2_base
SRC_MOE_MAJOR_2019_PAGE,2019年度普通高等学校本科专业备案和审批结果页面,https://www.moe.gov.cn/srcsite/A08/moe_1034/s4930/202003/t20200303_426853.html,教育部,2026-05-17,教育部通知页面,A,,已定位附件链接但按用户要求停止继续下载和抽取,E2_base
SRC_MOE_MAJOR_2018_PAGE,2018年度普通高等学校本科专业备案和审批结果页面,https://hudong.moe.gov.cn/srcsite/A08/moe_1034/s4930/201903/t20190329_376012.html,教育部,2026-05-17,教育部通知页面,A,,已定位docx附件链接但按用户要求停止继续下载和抽取,E2_base
MOE_2024_UNDERGRAD_MAJOR_RESULT,2024年度普通高等学校本科专业备案和审批结果,https://www.moe.gov.cn/srcsite/A08/moe_1034/s4930/202504/t20250422_1188239.html,中华人民共和国教育部,2026-05-17,教育部本科专业备案/审批结果,A,raw/W020250422312780758186.pdf,已下载原件；适用于E3_SUPPORT_MAJOR_COUNT等专业备案类指标。,E3_broad
MOE_2023_UNDERGRAD_MAJOR_RESULT,2023年度普通高等学校本科专业备案和审批结果,https://www.moe.gov.cn/srcsite/A08/moe_1034/s4930/202403/t20240319_1121111.html,中华人民共和国教育部,2026-05-17,教育部本科专业备案/审批结果,A,raw/W020240319305498774149.pdf,已下载原件；适用于E3_SUPPORT_MAJOR_COUNT等专业备案类指标。,E3_broad
MOE_2022_UNDERGRAD_MAJOR_RESULT,2022年度普通高等学校本科专业备案和审批结果,https://www.moe.gov.cn/srcsite/A08/moe_1034/s4930/202304/t20230419_1056224.html,中华人民共和国教育部,2026-05-17,教育部本科专业备案/审批结果,A,raw/W020230419336779647503.pdf,已下载原件；适用于E3_SUPPORT_MAJOR_COUNT等专业备案类指标。,E3_broad
MOE_2021_UNDERGRAD_MAJOR_RESULT,2021年度普通高等学校本科专业备案和审批结果,https://www.moe.gov.cn/srcsite/A08/moe_1034/s4930/202202/t20220224_602135.html,中华人民共和国教育部,2026-05-17,教育部本科专业备案/审批结果,A,raw/W020220228600206028276.pdf,已下载原件；适用于E3_SUPPORT_MAJOR_COUNT等专业备案类指标。,E3_broad
MOE_2020_UNDERGRAD_MAJOR_RESULT,2020年度普通高等学校本科专业备案和审批结果,https://www.moe.gov.cn/srcsite/A08/moe_1034/s4930/202103/t20210301_516076.html,中华人民共和国教育部,2026-05-17,教育部本科专业备案/审批结果,A,raw/W020210302545152199812.xls,已下载xls原件；当前阶段已完成福建省支撑专业清单初步结构化筛选。,E3_broad
MOE_2019_UNDERGRAD_MAJOR_RESULT,2019年度普通高等学校本科专业备案和审批结果,https://www.moe.gov.cn/srcsite/A08/moe_1034/s4930/202003/t20200303_426853.html,中华人民共和国教育部,2026-05-17,教育部本科专业备案/审批结果,A,raw/W020200303365402032446.pdf,已下载原件；本阶段文本抽取效果不稳定，需OCR或人工表格化。,E3_broad
MOE_2018_UNDERGRAD_MAJOR_RESULT,2018年度普通高等学校本科专业备案和审批结果,https://www.moe.gov.cn/srcsite/A08/moe_1034/s4930/201903/t20190329_376012.html,中华人民共和国教育部,2026-05-17,教育部本科专业备案/审批结果,A,raw/W020190329560198491315.docx,已下载docx原件；需继续按福建省段和支撑专业清单抽取。,E3_broad
NO_AUTOMATED_SOURCE_CURRENT_STAGE,当前阶段未形成可核验自动采集来源,,,,待补充来源,待定,,用于标注E3_AI_X_COURSE_COUNT、E3_AI_COMPETITION_BASE等尚未采集到可靠来源的占位记录，不作为最终数据来源。,E3_broad
DB_EXPORT_REQUIRED_PUBLICATION,CNKI/WoS/Scopus或高校科研统计导出（待获取）,,,,数据库/高校科研统计,待定,,高校AI论文数量必须由数据库或高校科研统计导出后填数；当前未获取。,E3_broad
DB_EXPORT_REQUIRED_PATENT,国家知识产权局/Incopat/智慧芽/高校知识产权平台导出（待获取）,,,,专利数据库/官方专利检索,待定,,高校AI专利数量必须按申请人类型和关键词/分类号检索导出后填数；当前未获取。,E3_broad
